# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: D:\workspace\IAP SPI Master\IAP_KPA_fw\pin assign.csv
# Generated on: Fri Dec 24 17:10:31 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
BE[3],Bidir,PIN_E15,7A,B7A_N0,PIN_E15,,,,,,,,,,,,,
BE[2],Bidir,PIN_G12,7A,B7A_N0,PIN_G12,,,,,,,,,,,,,
BE[1],Bidir,PIN_F13,7A,B7A_N0,PIN_F13,,,,,,,,,,,,,
BE[0],Bidir,PIN_F12,7A,B7A_N0,PIN_F12,,,,,,,,,,,,,
DATA[31],Bidir,PIN_E12,7A,B7A_N0,PIN_E12,,,,,,,,,,,,,
DATA[30],Bidir,PIN_D12,7A,B7A_N0,PIN_D12,,,,,,,,,,,,,
DATA[29],Bidir,PIN_B11,7A,B7A_N0,PIN_B11,,,,,,,,,,,,,
DATA[28],Bidir,PIN_C11,7A,B7A_N0,PIN_C11,,,,,,,,,,,,,
DATA[27],Bidir,PIN_B12,7A,B7A_N0,PIN_B12,,,,,,,,,,,,,
DATA[26],Bidir,PIN_A12,7A,B7A_N0,PIN_A12,,,,,,,,,,,,,
DATA[25],Bidir,PIN_C13,7A,B7A_N0,PIN_C13,,,,,,,,,,,,,
DATA[24],Bidir,PIN_B13,7A,B7A_N0,PIN_B13,,,,,,,,,,,,,
DATA[23],Bidir,PIN_A13,7A,B7A_N0,PIN_A13,,,,,,,,,,,,,
DATA[22],Bidir,PIN_D13,7A,B7A_N0,PIN_D13,,,,,,,,,,,,,
DATA[21],Bidir,PIN_B15,7A,B7A_N0,PIN_B15,,,,,,,,,,,,,
DATA[20],Bidir,PIN_A15,7A,B7A_N0,PIN_A15,,,,,,,,,,,,,
DATA[19],Bidir,PIN_C15,7A,B7A_N0,PIN_C15,,,,,,,,,,,,,
DATA[18],Bidir,PIN_B16,7A,B7A_N0,PIN_B16,,,,,,,,,,,,,
DATA[17],Bidir,PIN_C16,7A,B7A_N0,PIN_C16,,,,,,,,,,,,,
DATA[16],Bidir,PIN_D17,7A,B7A_N0,PIN_D17,,,,,,,,,,,,,
DATA[15],Bidir,PIN_H18,7A,B7A_N0,PIN_H18,,,,,,,,,,,,,
DATA[14],Bidir,PIN_H14,7A,B7A_N0,PIN_H14,,,,,,,,,,,,,
DATA[13],Bidir,PIN_G15,7A,B7A_N0,PIN_G15,,,,,,,,,,,,,
DATA[12],Bidir,PIN_H13,7A,B7A_N0,PIN_H13,,,,,,,,,,,,,
DATA[11],Bidir,PIN_H11,7A,B7A_N0,PIN_H11,,,,,,,,,,,,,
DATA[10],Bidir,PIN_J13,7A,B7A_N0,PIN_J13,,,,,,,,,,,,,
DATA[9],Bidir,PIN_J11,7A,B7A_N0,PIN_J11,,,,,,,,,,,,,
